customer_id,order_purchase_timestamp,recency_days,frequency,monetary_value,R_score,F_score,M_score,RFM_score,customer_segment,avg_order_value,CLV
0018c09f333634ca9c80d9ff46e43e9c,01-07-2018 18:07,58,1,56.87,5,1,2,512,Potential Customers,56.87,13598.832
0018f7fde63ca77254dbc47f4ea358b2,26-09-2017 14:01,337,1,51.27,2,1,1,211,At Risk,51.27,12259.75236
0019c9aaad15b043c48f0a1180f22ce8,06-03-2018 00:26,176,1,112.83,4,1,3,413,Potential Customers,112.83,26980.06355
001a57041f56400917a187dd74e6cbc1,17-01-2018 21:22,223,1,53.72,3,1,1,311,Others,53.72,12845.5997
001b4e9b73aa98a6276b241bfd496822,07-04-2018 02:12,144,1,82.87,4,1,2,412,Potential Customers,82.87,19815.98747
001c7f05398c45b42eee0d5a77783bca,12-04-2018 13:41,139,1,21.94,4,1,1,411,Potential Customers,21.94,5246.322736
001df1ee5c36767aa607001ab1a13a06,05-08-2018 23:14,23,1,42.86,5,1,1,511,Potential Customers,42.86,10248.74168
001f150aebb5d897f2059b0460c38449,09-05-2018 12:06,112,1,125.97,4,1,3,413,Potential Customers,125.97,30122.11828
001f35d9f262c558fd065346fbf5801d,25-01-2018 17:33,215,1,46.53,3,1,1,311,Others,46.53,11126.31709
001f6f1a5e902ad14e1f709a7215de11,07-02-2017 20:32,567,1,34.86,1,1,1,111,At Risk,34.86,8335.770765
00205ad9ba1ef4340cef86583294cf82,12-05-2018 17:51,108,1,928.7,4,1,5,415,Champions,928.7,222072.0112
002236c4f333bc8df6a5939749eb7869,22-01-2018 20:16,218,1,69.84,3,1,2,312,Others,69.84,16700.23609
002408f390f729598bbac1ef9421c6ae,10-01-2018 17:01,230,1,258.01,3,1,5,315,Others,258.01,61695.70324
002450e9ea44cb90b8a07ba0b197e149,16-08-2017 09:07,378,1,40,2,1,1,211,At Risk,40,9564.854578
002554bdf9eb99618d8189c3a89fdd52,13-08-2018 17:59,15,1,244.08,5,1,5,515,Champions,244.08,58364.74264
0026955706fd4e2fa997f3f4c18d485a,20-08-2018 11:23,9,1,121.9,5,1,3,513,Potential Customers,121.9,29148.89433
002834b4d901534f48d9e9a72047b288,08-10-2017 17:38,324,1,214.14,2,1,5,215,At Risk,214.14,51205.44898
0028ff36263a86bf679df7c863a0a0ba,12-04-2018 17:16,138,1,74.94,4,1,2,412,Potential Customers,74.94,17919.75505
002905287304e28c0218389269b4759b,22-07-2018 17:13,37,1,31.7,5,1,1,511,Potential Customers,31.7,7580.147253
002937abdae13680e17dccd3868b4825,24-11-2017 20:26,277,1,43.55,2,1,1,211,At Risk,43.55,10413.73542
0029cdf064769cabdf3186b54d068c99,04-02-2018 12:22,206,1,483.7,3,1,5,315,Others,483.7,115663.004
002a10e899b62a460b0116e0b68697ad,05-05-2018 18:33,115,1,92.81,4,1,3,413,Potential Customers,92.81,22192.85384
002b24cb2cd0c3e575040dbd278885e3,21-05-2018 23:17,99,1,40.22,4,1,1,411,Potential Customers,40.22,9617.461278
002c625393dfa194828b462a6ef8cb0b,19-11-2017 13:22,283,1,371.87,2,1,5,215,At Risk,371.87,88922.0618
002ce108ccf0356ef5c8b1dce3c0ae29,06-06-2018 17:22,83,1,185.6,5,1,4,514,Champions,185.6,44380.92524
002d358e2462f87678443706cbf2eb21,31-01-2018 17:53,209,1,45.61,3,1,1,311,Others,45.61,10906.32543
002d597546b2cf44428232c9f237f873,22-07-2018 09:29,38,1,117.74,5,1,3,513,Potential Customers,117.74,28154.14945
002ebb669a34b9e79c88efc755e95322,11-08-2018 12:41,18,1,133.57,5,1,4,514,Champions,133.57,31939.44065
002ef7e55600d44ead53f7c1644e5222,19-06-2018 21:08,70,1,199.02,5,1,4,514,Champions,199.02,47589.93395
002f067b028a3643ad3a0969c7a0f3dc,19-10-2017 09:31,314,1,107.84,2,1,3,213,At Risk,107.84,25786.84794
002f90a6eb386bc43bc9ba200db31a89,15-06-2017 23:59,439,1,153.51,1,1,4,114,At Risk,153.51,36707.52066
002fb8fc5ce64f8422fa2fe79986c783,26-11-2017 23:15,275,1,67.68,2,1,2,212,At Risk,67.68,16183.73395
002ff70a5285669011090c077ef929af,05-08-2018 13:19,24,1,81.14,5,1,2,512,Potential Customers,81.14,19402.30751
00302a0b99783c3d1d1e81c616e321e8,26-03-2018 18:50,155,1,159.48,4,1,4,414,Champions,159.48,38135.0752
0030aded3a67b29946a128ee8468388e,23-11-2017 21:18,278,1,58.59,2,1,2,212,At Risk,58.59,14010.12074
0030fbb95fbe7e61f798a80edb01a8e9,09-11-2017 23:28,292,1,26.85,2,1,1,211,At Risk,26.85,6420.408636
00314f95a054231742e3c5396b333b88,08-01-2018 19:29,232,1,59.34,3,1,2,312,Others,59.34,14189.46177
003177b3eeca50af17750f53802c9a09,08-07-2018 15:48,51,1,133.81,5,1,4,514,Champions,133.81,31996.82978
0031abfb953b66e998f67b09e7b11375,23-01-2018 13:57,218,1,671.85,3,1,5,315,Others,671.85,160653.6887
0031c1062edf836ef7a7a7ea758b137b,01-03-2017 20:00,545,1,81,1,1,2,112,At Risk,81,19368.83052
00330644cccc5db0276fa836976306fe,30-10-2017 17:48,302,1,55.1,2,1,2,212,At Risk,55.1,13175.58718
00331de1659c7f4fb660c8810e6de3f5,18-12-2017 14:54,254,1,243.69,3,1,5,315,Others,243.69,58271.4853
0033823ee55671ac5317d423291333c2,29-05-2017 19:02,456,1,79.48,1,1,2,112,At Risk,79.48,19005.36605
0034f7933de3ead6bd9ba49afe95f119,06-04-2018 09:25,145,1,84.24,4,1,2,412,Potential Customers,84.24,20143.58374
003536ce5e18f1d12b9bf76932f8a6b1,16-10-2017 19:17,316,1,53.33,2,1,1,211,At Risk,53.33,12752.34237
0035b30e58c620fa2bd30275ddd4f7ef,08-04-2018 18:56,142,1,78.2,4,1,2,412,Potential Customers,78.2,18699.2907
0036875772a8eeb391b8cd7226283fdd,21-01-2018 22:49,219,1,61.85,3,1,2,312,Others,61.85,14789.65639
00380c010de38d578d02117f6d0b88e7,28-02-2018 11:10,182,1,64.1,3,1,2,312,Others,64.1,15327.67946
0039b3e41ac6615814a0b44a8992bff5,11-01-2018 01:24,230,1,34.59,3,1,1,311,Others,34.59,8271.207997
003a75d228dc67cb2918e40c2aacc4bf,19-10-2017 12:07,314,1,79.28,2,1,2,212,At Risk,79.28,18957.54177
003b595c764773e20e0949b6fba7b1dc,14-04-2018 08:18,137,1,25.46,4,1,1,411,Potential Customers,25.46,6088.029939
003bc8d06ebed9d146eb9f100d0a89ae,07-03-2018 15:08,174,1,600.04,4,1,5,415,Champions,600.04,143482.3835
003bdf7fd8312f9d14a4b979f3747334,28-11-2017 15:39,273,1,43.68,2,1,1,211,At Risk,43.68,10444.8212
003c7cadba4f182b9f22d7d5ea7a5003,19-04-2018 11:58,132,1,128.25,4,1,3,413,Potential Customers,128.25,30667.31499
003cbe6a43560a8b6fd2c07531257c2d,01-02-2018 14:05,209,1,27.75,3,1,1,311,Others,27.75,6635.617864
003e45472805afa1ee701d83284fa22b,11-06-2017 20:50,443,1,30.6,1,1,1,111,At Risk,30.6,7317.113752
003eab528664e1bd677218ef4be086ac,03-04-2017 19:20,512,1,77.1,1,1,2,112,At Risk,77.1,18436.2572
003ec17a1389fa302f3a0423dddd8650,14-01-2018 17:25,226,1,17.77,3,1,1,311,Others,17.77,4249.186646
003f7d92ac63c512bb6584219806f8df,14-02-2018 12:45,196,1,84.91,3,1,2,312,Others,84.91,20303.79506
0040a8417928d0d5abd5169cd7877181,27-06-2018 17:38,62,1,219.49,5,1,5,515,Champions,219.49,52484.74828
0040b00970e2139e8c43b647c0da5305,26-01-2017 23:10,579,1,41.93,1,1,1,111,At Risk,41.93,10026.35881
00411811e3b661e746a6e1ce1f0878ab,07-05-2017 17:27,478,1,367.2,1,1,5,115,At Risk,367.2,87805.36503
0041d7b768cb115092fa0f5d55638d06,10-03-2018 22:11,171,1,81.32,4,1,2,412,Potential Customers,81.32,19445.34936
00426311a53f3c052943c88b692a3be2,13-12-2017 15:35,258,1,273.66,3,1,5,315,Others,273.66,65437.9526
0042d04ee8231b36dcb29aac213f5db4,10-04-2017 21:59,505,1,33.47,1,1,1,111,At Risk,33.47,8003.392068
0043b0afd67fb3af74360d2893b9a530,15-11-2017 21:06,286,1,115.45,2,1,3,213,At Risk,115.45,27606.56153
004440537b68545ca3c341d7279bc4c0,28-08-2018 22:30,0,1,98.04,5,1,3,513,Potential Customers,98.04,23443.45857
00447b6bd39c4a0f6366b05948f9e2e3,25-06-2018 15:05,64,1,303.79,5,1,5,515,Champions,303.79,72642.67931
00459c4eb23e40414ca067d06fa303d4,07-05-2018 15:18,113,1,87.94,4,1,3,413,Potential Customers,87.94,21028.33279
0045ac1c0957bc92e109f71e4941fa49,30-06-2018 11:49,60,1,152.47,5,1,4,514,Champions,152.47,36458.83444
00474d2582fd72663036795b7ab8cfc1,04-10-2016 22:33,693,1,108.84,1,1,3,113,At Risk,108.84,26025.96931
004937d0f9d6ce15c2830c00c2f482e5,27-01-2018 17:01,213,1,70.91,3,1,2,312,Others,70.91,16956.09595
00498d14e21c58ed2feb5d5feb4cd706,12-01-2018 22:38,228,1,106.87,3,1,3,313,Others,106.87,25554.90022
0049e8442c2a3e4a8d1ff5a9549abd53,28-08-2017 21:16,365,1,1250.81,2,1,5,215,At Risk,1250.81,299095.3939
004a2b3e8b026284407c620f4f01f686,18-04-2018 22:19,132,1,163.78,4,1,4,414,Champions,163.78,39163.29707
004d41e9bf012c669db1a257888d85a2,14-07-2017 11:00,411,1,307.24,1,1,5,115,At Risk,307.24,73467.64802
004df18653e9438571e9d294776a5c5c,04-06-2018 15:54,85,1,50.29,5,1,1,511,Potential Customers,50.29,12025.41342
004ee20df425002ed78553e1f50caa3e,01-05-2018 18:56,119,1,32.69,4,1,1,411,Potential Customers,32.69,7816.877404
004f39eb181d53fa796fe82ce7a0cbd5,11-05-2018 17:42,109,1,98.97,4,1,3,413,Potential Customers,98.97,23665.84144
00502500a53243e07961383bf1a6fa82,20-02-2018 14:24,190,1,71.92,3,1,2,312,Others,71.92,17197.60853
005092c23e81812fbbe11fc6cf7e5316,06-08-2017 15:45,387,1,44,1,1,1,111,At Risk,44,10521.34004
0050b4dd994efa94b2cd3210e4cecf32,11-07-2017 08:20,414,1,164.38,1,1,4,114,At Risk,164.38,39306.76989
0050ee32fbb93383fb0d9e3d8ee89a07,23-07-2018 14:33,37,1,122.84,5,1,3,513,Potential Customers,122.84,29373.66841
0051337a96842850e1ec728dd158f4b3,30-01-2017 16:52,575,1,237.99,1,1,5,115,At Risk,237.99,56908.49353
005196c65bab2861e397cc85bc7664bf,17-01-2018 14:35,224,1,1233.65,3,1,5,315,Others,1233.65,294992.0713
00520034b873d2cdfe098fd0a634d03d,07-07-2017 09:08,418,1,162.45,1,1,4,114,At Risk,162.45,38845.26566
0054556ea954a76ad6f9c4ba79d34a98,08-08-2017 23:46,385,1,51.78,1,1,1,111,At Risk,51.78,12381.70425
005460bea0518c7354f01adf10012184,11-04-2018 12:23,140,1,74.41,4,1,2,412,Potential Customers,74.41,17793.02073
0054f2f885ca69abcf4935c9506d7851,31-03-2017 00:01,516,1,51.71,1,1,1,111,At Risk,51.71,12364.96576
005596395ca3acd0433fe7d6f95a028e,25-08-2017 23:07,368,1,60,2,1,2,212,At Risk,60,14347.28187
0055e9b290953716739bd94a256a4144,09-07-2017 15:53,415,1,59.29,1,1,2,112,At Risk,59.29,14177.5057
0056a2580b5c68cfa6b43c6ef6adbc03,15-09-2017 06:32,348,1,63.49,2,1,2,212,At Risk,63.49,15181.81543
00573ea7a2ac9dff51ac3d177cd6eaea,03-02-2018 22:50,206,1,38.01,3,1,1,311,Others,38.01,9089.003063
0057f8b7c332d630b992d6a8ca79748c,15-02-2018 14:23,195,1,123.69,3,1,3,313,Others,123.69,29576.92157
0058153a752ee674162564afb1191d25,17-08-2018 13:13,12,1,93.89,5,1,3,513,Potential Customers,93.89,22451.10491
00581d55862aecc8cbc7d701a27bc285,29-03-2018 09:09,153,1,287.54,4,1,5,415,Champions,287.54,68756.95714
0058ebe2dc136d918dd001968cfa5903,09-02-2017 16:19,565,1,270,1,1,5,115,At Risk,270,64562.7684
005b65c9a6485aa1b7ac382dd87b018f,12-05-2017 10:43,474,1,39.89,1,1,1,111,At Risk,39.89,9538.551228
005c36bfaa8710aaf61e4b1712ccd658,13-03-2018 14:49,169,1,283.42,4,1,5,415,Champions,283.42,67771.77711
005c611fb96be942e75d22129c370268,13-02-2017 19:20,561,1,54.55,1,1,2,112,At Risk,54.55,13044.07043
005e2fff255d3d69e6cfc8c4928d33a9,05-01-2018 07:15,236,1,129.89,3,1,4,314,Others,129.89,31059.47403
00618f4116647066768ca73893989605,31-01-2018 11:45,210,1,129.32,3,1,4,314,Others,129.32,30923.17485
0061937e85c708a41f5d5b24405d0f50,25-06-2018 11:57,65,1,194.04,5,1,4,514,Champions,194.04,46399.10956
00620f738107803e6c0f6818a7a3b7e3,01-06-2018 21:36,88,1,141.74,5,1,4,514,Champions,141.74,33893.0622
00624707c8556199de70cac1593e7088,21-06-2018 08:46,69,1,149.31,5,1,4,514,Champions,149.31,35703.21093
0062859a8f89e25c6b0e8dc905ccc59d,24-03-2018 07:55,158,1,318.44,4,1,5,415,Champions,318.44,76145.8073
0063913c2f1878cc471de963dc0571c4,10-08-2018 13:04,19,1,254.58,5,1,5,515,Champions,254.58,60875.51696
0063bdf3bf91260f76973a4af6f9199e,05-06-2018 19:44,84,1,97.23,5,1,3,513,Potential Customers,97.23,23249.77027
006431d77c665533ac99b501d8a6ab06,15-04-2018 13:45,136,1,236.56,4,1,5,415,Champions,236.56,56566.54998
006496598c918064dc19eef95e5e47f8,22-02-2018 14:32,188,1,76.65,3,1,2,312,Others,76.65,18328.65259
00650b839d32a071b1025af8ca26dd13,21-07-2018 12:32,39,1,367.11,5,1,5,515,Champions,367.11,87783.84411
00652f7a6e012d58f58fefd69d1a1ea4,14-04-2018 07:49,137,1,86.8,4,1,3,413,Potential Customers,86.8,20755.73443
0065c96aca557c0919dd5cdee546f8b1,31-05-2018 10:28,90,1,124.02,5,1,3,513,Potential Customers,124.02,29655.83162
00660e817a39486a37c26b071d0741f8,31-03-2018 12:44,151,1,161.48,4,1,4,414,Champions,161.48,38613.31793
0066d0530824a5e8044c71af62dea8d5,22-11-2017 09:51,280,1,34.09,2,1,1,211,At Risk,34.09,8151.647314
00674fe0f6a6f190bd022dbca99795dc,06-05-2018 21:29,114,1,91.35,4,1,3,413,Potential Customers,91.35,21843.73664
006866a6f9ef10d3a85292859c4deae1,30-07-2018 11:18,30,1,41.01,5,1,1,511,Potential Customers,41.01,9806.367156
0068a2209e2c7631566539fef4331bf8,19-05-2017 09:39,467,1,34.09,1,1,1,111,At Risk,34.09,8151.647314
0068b31b2dd799c334e7b6283333f84a,22-12-2017 18:18,249,1,186.85,3,1,4,314,Others,186.85,44679.82695
00694a1bf2da47e37b2bd3193eeae839,24-11-2017 09:58,278,1,35.77,2,1,1,211,At Risk,35.77,8553.371207
0069f43bfc018147f03b7a0f64fa00bd,19-07-2018 15:51,40,1,75.68,5,1,2,512,Potential Customers,75.68,18096.70486
006a5d6b5f648f3811fd4fa94d93a67c,30-05-2017 10:59,456,1,76.94,1,1,2,112,At Risk,76.94,18397.99778
006b5498d9494c061f8c2f80a6c2f343,10-06-2018 14:25,80,1,128.27,5,1,3,513,Potential Customers,128.27,30672.09742
006ba1709128094a7047a4fa349f9bc8,13-11-2017 15:09,288,1,132.39,2,1,4,214,At Risk,132.39,31657.27744
006d300ffcb82917c9866dd5a507dbe6,16-02-2017 15:53,558,1,471.05,1,1,5,115,At Risk,471.05,112638.1187
006d7cf1f4f5fb1c805d2d7cacc8049d,19-06-2018 08:26,71,1,284.09,5,1,5,515,Champions,284.09,67931.98843
006e0e7aa73b77bfcc0c4b2a3f3ab0cc,10-06-2017 22:12,444,1,70.35,1,1,2,112,At Risk,70.35,16822.18799
006e35001c6c8c65ad4b20a8925d2b9f,23-05-2017 10:33,463,1,85.14,1,1,2,112,At Risk,85.14,20358.79297
006f0d8cda092921f2cd9159db212237,11-11-2017 09:19,291,1,71.72,2,1,2,212,At Risk,71.72,17149.78426
006fffc5b0accd275de3e3a4b6d0832d,14-03-2018 13:28,168,1,65.03,4,1,2,412,Potential Customers,65.03,15550.06233
00701ade29704fc9aa33a8766b082cb6,26-08-2017 15:28,367,1,107.78,2,1,3,213,At Risk,107.78,25772.50066
0070e3e36dad141bed98c6dd5b3d1216,18-06-2018 09:58,72,1,128.53,5,1,4,514,Champions,128.53,30734.26897
007182cdc3e8e2d3d4ce0b00b9004630,07-07-2018 16:33,52,1,21.86,5,1,1,511,Potential Customers,21.86,5227.193027
0072357d0a3394d268c6abb9e30aaafe,02-01-2018 14:53,239,1,90.05,3,1,3,313,Others,90.05,21532.87887
0074a15febc9459ab2f999ea0e22c8d6,28-11-2017 14:43,274,1,425.24,2,1,5,215,At Risk,425.24,101683.969
0075589b789b6bce7b058adab7e9a6f5,03-10-2017 22:45,329,1,65.6,2,1,2,212,At Risk,65.6,15686.36151
007612fef51262f4762d32add5d128cc,30-12-2017 22:51,241,1,102.87,3,1,3,313,Others,102.87,24598.41476
00765aebd8e20a9a8aa8c28d0099a938,19-07-2017 19:37,405,1,27.77,1,1,1,111,At Risk,27.77,6640.400291
007732425b3cfb147a3ca928ce907cc1,12-09-2017 16:15,350,1,195.92,2,1,4,214,At Risk,195.92,46848.65772
00785e4d6fd1ab53e7de20c730c070f1,10-06-2018 23:18,79,1,128.97,5,1,4,514,Champions,128.97,30839.48237
0078867a1043bd408c6134cf5ca1bbf5,20-06-2018 14:17,70,1,94.74,5,1,3,513,Potential Customers,94.74,22654.35807
00788705370da606e9f8390258b9e977,06-01-2018 10:38,235,1,44.09,3,1,1,311,Others,44.09,10542.86096
0078c6b33ae4a3f03de57a8ad36648e1,17-04-2017 14:31,499,1,75.53,1,1,2,112,At Risk,75.53,18060.83666
00791d8bb3acb245dc0b865656e18fff,21-08-2018 12:20,8,1,128.4,5,1,3,513,Potential Customers,128.4,30703.1832
0079368290cd7f161d62e7df9377d8ce,13-03-2017 14:39,534,1,57.42,1,1,2,112,At Risk,57.42,13730.34875
00796be07bfc87dad2e31ef15490a718,09-11-2017 14:07,293,1,136.28,2,1,4,214,At Risk,136.28,32587.45955
007a444502902587d7aa72af38cbd1de,08-05-2018 21:41,112,1,83.7,4,1,2,412,Potential Customers,83.7,20014.4582
007a6cde976f335c04a22d7043dd23f0,17-10-2017 08:55,316,1,99.7,2,1,3,213,At Risk,99.7,23840.40004
007b18ac9b8a627f259ea78aed981315,16-03-2018 23:03,165,1,43.13,4,1,1,411,Potential Customers,43.13,10313.30445
007b7f04a35e02745c23ea706492ca20,21-01-2017 18:37,584,1,77.06,1,1,2,112,At Risk,77.06,18426.69234
007c76c2ab6101f00798548775dfdbaf,06-01-2018 11:59,235,1,281.26,3,1,5,315,Others,281.26,67255.27497
007d1c8a4fe2a7d4233d5ad3ea74a29b,10-01-2018 21:48,230,1,38.56,3,1,1,311,Others,38.56,9220.519813
007da0ded5420c2ac9cdcdc758841cde,21-03-2018 10:47,161,1,298.28,4,1,5,415,Champions,298.28,71325.12059
007dca6150a323ecb560d11f2a3615a2,03-03-2018 15:50,178,1,65,4,1,2,412,Potential Customers,65,15542.88869
007dd470bdcf9dc8ffcd44beb79dc18c,18-02-2018 23:39,191,1,179.78,3,1,4,314,Others,179.78,42989.2389
007e99fec9d53dfa4e5d8be9c2b36ca7,02-06-2017 21:39,452,1,410.37,1,1,5,115,At Risk,410.37,98128.23433
007ff1d42a6a44f0e16e18d2d7d5f72e,30-03-2017 18:55,516,1,98.83,1,1,3,113,At Risk,98.83,23632.36445
0080e98d82eceee143dc006defe00687,26-10-2017 18:29,306,1,72.66,2,1,2,212,At Risk,72.66,17374.55834
00838729460c2110a0bd330a4bb9b332,24-03-2018 07:54,158,1,55.13,4,1,2,412,Potential Customers,55.13,13182.76082
008598a4ca17eba904c5fed695cb13be,31-07-2017 11:23,394,1,100.34,1,1,3,113,At Risk,100.34,23993.43771
008657b86f500495539ffa6d275351b7,08-10-2017 20:43,324,1,76.08,2,1,2,212,At Risk,76.08,18192.35341
0086b541a59fa554e7953e2d3c285285,26-07-2018 16:26,33,1,52.18,5,1,1,511,Potential Customers,52.18,12477.3528
0088393a302a84e57cc69c9d365f5efa,14-07-2017 12:40,411,1,66.01,1,1,2,112,At Risk,66.01,15784.40127
0088395699ea0fcd459bfbef084997db,02-04-2017 16:33,513,1,28.42,1,1,1,111,At Risk,28.42,6795.829178
008871f261eb4390ca7a1ded607ea417,13-05-2017 16:43,472,1,128.31,1,1,3,113,At Risk,128.31,30681.66227
008943f202ed451804dfc1c23248eeb0,28-07-2018 21:54,31,1,116.79,5,1,3,513,Potential Customers,116.79,27926.98415
0089c34393989276de67746531e0df21,17-10-2017 22:31,315,1,27.33,2,1,1,211,At Risk,27.33,6535.186891
008d16b47540f172f75b765d5ea1eed0,05-02-2018 14:13,205,1,150.87,3,1,4,314,Others,150.87,36076.24026
008d7d751e72ae684c0d31bc988b36fb,29-03-2018 16:22,152,1,157.77,4,1,4,414,Champions,157.77,37726.17767
008def95c3ec7f58d2cc8f2b1d2c3feb,21-08-2017 21:09,372,1,51.14,2,1,1,211,At Risk,51.14,12228.66658
008e75e0f20ba6d6cc41923596b83693,25-04-2018 12:04,126,1,82.43,4,1,2,412,Potential Customers,82.43,19710.77407
008f931f2de5414536a04cdd033bea60,14-12-2017 15:08,257,1,450.24,3,1,5,315,Others,450.24,107662.0031
009043346db59e970bcad7e5a6e590ca,15-09-2017 09:24,348,1,107.87,2,1,3,213,At Risk,107.87,25794.02158
0090571a7077aaa71825c98f660695df,12-03-2017 11:27,535,1,189.81,1,1,4,114,At Risk,189.81,45387.62619
00914220fb44a373f667e19ed450e8df,03-08-2018 00:26,26,1,95.65,5,1,3,513,Potential Customers,95.65,22871.95851
0092770b2a1471643d88b60d6b804464,21-12-2017 15:25,250,1,198.67,3,1,4,314,Others,198.67,47506.24148
0092ebfee8043dae610fab832e61acff,22-02-2018 14:48,188,1,524.3,3,1,5,315,Others,524.3,125371.3314
00931b6a1ae01ead1f98d4e1d1547106,09-12-2017 15:57,262,1,103.36,3,1,3,313,Others,103.36,24715.58423
00931eabd5b24b4a2d97ec779d739631,24-05-2017 03:14,462,1,65.09,1,1,2,112,At Risk,65.09,15564.40961
0093eadfb5536c158311672bdf418044,26-06-2018 21:23,63,1,137.93,5,1,4,514,Champions,137.93,32982.0098
00949af96107ff1f55bc0f09e913686d,31-03-2018 11:35,151,1,189.56,4,1,4,414,Champions,189.56,45327.84585
00951234ffc26898cb0f62b8c0e89f88,22-10-2017 10:53,311,1,65.09,2,1,2,212,At Risk,65.09,15564.40961
0095298db7c70d082c2584d4eb496654,13-09-2017 18:37,349,1,299.2,2,1,5,215,At Risk,299.2,71545.11225
00953228b409090c774d955f2ab881e5,23-08-2018 13:46,6,1,118.35,5,1,3,513,Potential Customers,118.35,28300.01348
009556b29007b7233895402fac956591,21-07-2018 19:36,38,1,139.15,5,1,4,514,Champions,139.15,33273.73786
0095d34ddb16f0d0776fc9f2a341dfcd,13-01-2018 09:28,228,1,257.3,3,1,5,315,Others,257.3,61525.92707
